Ordem,Maquina,Tempo min,Tempo max,Custo min,Custo max,Especialidade s,w_min,w_max,Disponibilidade_maquina,Tempo_amostrado,Custo_amostrado,w_amostrado
1,1,3.6,5.4,198,300,1,1.5,8.2,6.04,3.815269642688943,280.3588958267344,7.585381435976579
2,2,4.4,6.7,144,195,2,2.1,7.5,6.95,6.040463010612889,189.70065629609815,3.393634209601651
3,22,3.6,6.2,252,308,3,1.8,6.9,6.83,5.578041126403933,269.8081945984244,2.538963847665238
4,3,4.4,7.2,225,400,1,2.5,9.1,7.08,5.971576153,244.25908679234342,5.730388217831916
5,16,4.2,7.2,180,220,2,1.2,5.8,7.42,6.512901539863683,189.11740650167766,5.733992088908763
6,4,3.5,5.9,171,209,3,1.9,7.3,5.52,4.6851094312745385,187.23009596779775,3.207098466162102
7,8,4.8,7.8,243,297,1,3.2,9.5,7.95,6.368198488145982,287.17279735981464,7.434453948657035
8,12,2.8,5,153,187,2,1.4,6.2,5.18,3.740590240388809,182.2648398307157,5.055774153577845
9,23,4.4,7.2,270,330,1,2.8,8.7,7.63,4.471173554883467,270.4171278318714,4.202061509555158
10,29,4,6.6,216,264,1,2.3,7.9,7.87,4.2805177101825915,240.51587052372315,6.378011552226414
11,6,2.4,4.7,135,165,1,1.1,5.5,7.11,2.472287127079489,147.52233009446337,2.7182457839647145
12,7,3.6,6,234,286,1,2,7.8,7.66,5.127384987033073,245.54960614447796,5.667373817442761
13,9,5.2,8.4,261,520,2,3.5,10,6.73,6.205939139444245,292.04513013942386,7.617943119945815
14,13,3.6,6.2,162,198,2,1.7,6.5,6.69,4.922283797028228,174.1541461705306,4.271718483558841
15,30,4,6.6,279,418,2,2.4,8.3,6.6,6.359672832207842,410.0644488438402,2.932709643321009
16,10,4.4,7.2,234,333,1,2.6,8.9,6.91,5.098018242,265.99709027005474,7.862405722
17,14,4,6.3,148.5,201,2,1.3,6,6.66,4.943880722981948,175.7365076415267,2.8076663053671584
18,18,4.2,7.4,216,264,3,1.8,7.1,7.65,6.6177636433377565,249.74491002696854,2.7885481051192276
19,20,5.6,9,270,330,1,3.8,9.8,7.41,6.3779137626715166,291.8177761427576,4.044650849328583
20,5,4,6.6,171,209,1,2.2,7.6,7.34,4.200147765554862,207.9277191433965,5.390821893216506
21,15,4.8,7.8,252,308,1,3.1,9.3,7.59,5.669254358741304,305.8970485167582,7.300899043422152
22,17,3.6,6,288,352,1,2.1,7.7,6.75,3.9869310894096106,304.11406693282333,2.1928918419959946
23,19,3.8,6.5,157.5,256,2,1.4,6.3,6.89,6.310183661324947,206.47897783039997,3.909255985666477
24,21,4.4,7.2,261,319,3,2.7,8.5,7.62,6.6627370627803675,278.45094196937265,4.013675496
25,24,5.2,8.4,279,500,2,3.4,9.7,6.38,7.226892020833356,341.94974925742036,7.464588579579534
26,25,3.9,6,189,550,2,1.6,6.8,6.9,5.730067239394208,202.31618799498634,2.5067054308259555
27,26,4,7,243,489,3,2.3,8.1,7.54,6.411016230697344,392.9528261590546,6.307438880994302
28,27,5.6,9,288,352,1,3.7,9.9,7.28,6.234338200212521,320.1714574866471,6.097759147063332
29,28,4,6.2,139.5,206,2,1.2,5.4,7.84,5.963629796677951,142.92333695812428,5.134265952694285
30,11,3.6,5.9,225,398,3,2,7.4,7.28,4.840487156405997,273.2058383129338,2.7426130983883636
