Ordem,Maquina,Tempo min,Tempo max,Custo min,Custo max,Especialidade s,w_min,w_max,Disponibilidade_maquina,Tempo_amostrado,Custo_amostrado,w_amostrado,Solução 1,F1,F2,Solução 2,F1,F2
1,1,3.6,5.4,198,300,1,1.5,8.2,6.04,4.998864448669386,262.19866108979676,5.609881812769792,0,0,0,3.815269642688940,21.40321178,1000.358592
2,2,4.4,6.7,144,195,2,2.1,7.5,6.95,5.684329774392352,179.48318313821548,4.358512395969342,5.286516666,23.04134842,948.840839,0,0,0
3,22,3.6,6.2,252,308,3,1.8,6.9,6.83,4.702977224042138,277.4542996269953,6.556915265105468,5.503184249,36.08391281,1526.882131,0,0,0
4,3,4.4,7.2,225,400,1,2.5,9.1,7.08,6.9377922782652615,334.8226640147111,8.216021670702695,0,0,0,5.971576153194590,49.06259908,1999.419036
5,16,4.2,7.2,180,220,2,1.2,5.8,7.42,4.533592446918454,203.3725725,1.4080058824884711,0,0,0,6.512901539863680,9.17020368,1324.545541
6,4,3.5,5.9,171,209,3,1.9,7.3,5.52,4.682300250298062,205.24400439865758,2.0423816622851607,3.874386849,7.912976653,795.1946714,4.685109431274530,9.568781588,961.5906207
7,8,4.8,7.8,243,297,1,3.2,9.5,7.95,4.834060934302257,245.4541045384387,5.571719211331713,1.588182728,8.848908216,389.8259693,2.063624817765960,11.49793804,506.5251817
8,12,2.8,5,153,187,2,1.4,6.2,5.18,3.8310534123870776,162.55274844613584,5.290655987752798,4.705587521,24.89564479,764.9061845,3.740590240388800,19.79017615,608.0432244
9,23,4.4,7.2,270,330,1,2.8,8.7,7.63,4.557649171909145,327.0246890445935,8.624929162958171,0,0,0,4.471173554883460,38.56355519,1462.184141
10,29,4,6.6,216,264,1,2.3,7.9,7.87,4.308926582296987,258.73266162676396,3.1423345901797575,5.840988702,18.35434084,1511.254553,4.280517710182590,13.45081886,1107.50974
11,6,2.4,4.7,135,165,1,1.1,5.5,7.11,2.670310367587341,148.6697025835714,3.714175147549395,2.447344337,9.089865514,363.8459547,2.472287127079480,9.182507405,367.5541919
12,7,3.6,6,234,286,1,2,7.8,7.66,5.1581047250785526,266.2468950856799,4.209166968459925,0,0,0,5.127384987033070,21.58201952,1365.150333
13,9,5.2,8.4,261,520,2,3.5,10,6.73,7.587343613649354,332.84172639211334,9.804443585794921,0,0,0,6.205939139444240,60.84578019,2065.595497
14,13,3.6,6.2,162,198,2,1.7,6.5,6.69,5.116758789252615,168.7723617500554,5.742170831051402,4.152081688,23.84196236,700.7566326,4.922283797028220,28.26459444,830.7454616
15,30,4,6.6,279,418,2,2.4,8.3,6.6,6.501648626033809,343.45407828665753,7.346139357795714,4.472744915,32.85740746,1536.182482,0,0,0
16,10,4.4,7.2,234,333,1,2.6,8.9,6.91,5.449637622666372,268.9818705745792,5.552766906708314,4.913532628,27.28370137,1321.651197,5.098018241616850,28.30810698,1371.274483
17,14,4,6.3,148.5,201,2,1.3,6,6.66,4.657137798,179.1419458721708,3.2496516609870265,4.699757159,15.27257366,841.9236426,0,0,0
18,18,4.2,7.4,216,264,3,1.8,7.1,7.65,6.979517210206273,219.73126257431926,3.249057481232743,5.879220581,19.10192561,1291.848561,6.258553661823490,20.3344006,1375.199898
19,20,5.6,9,270,330,1,3.8,9.8,7.41,6.360225850966138,328.4636885,4.1382529799055625,6.954251568,28.77845227,2284.219121,0,0,0
20,5,4,6.6,171,209,1,2.2,7.6,7.34,6.504378602545589,208.4760082902249,6.869500831777287,4.757195765,32.67956026,991.7611836,4.200147765554860,28.85291857,875.6300404
21,15,4.8,7.8,252,308,1,3.1,9.3,7.59,4.836463424069449,291.0970559851057,8.139986256606482,3.718504273,30.26857367,1082.445646,0,0,0
22,17,3.6,6,288,352,1,2.1,7.7,6.75,5.927709184098333,322.3101674460237,7.698418970402331,0,0,0,0,0,0
23,19,3.8,6.5,157.5,256,2,1.4,6.3,6.89,3.916531762266555,187.98847020420328,6.283520501662137,0,0,0,1.274655486596880,8.009323883,239.620535
24,21,4.4,7.2,261,319,3,2.7,8.5,7.62,6.895200718,308.2001111,5.921503892,0,0,0,5.559270351946650,32.91924103,1713.36774
25,24,5.2,8.4,279,500,2,3.4,9.7,6.38,6.888643549,430.3255891344073,8.244620715637215,6.38,52.60068017,2745.477259,6.380000000000000,52.60068017,2745.477259
26,25,3.9,6,189,550,2,1.6,6.8,6.9,5.985226071850531,247.70471510350575,6.512781795388625,0,0,0,0,0,0
27,26,4,7,243,489,3,2.3,8.1,7.54,4.221389694206197,467.0880873854852,7.227954865928986,4.599021346,33.24151872,2148.148085,3.497066554955210,25.27663922,1633.438129
28,27,5.6,9,288,352,1,3.7,9.9,7.28,7.4831045669644904,340.64238354708283,5.233558230807826,7.28,38.10030392,2479.876552,0,0,0
29,28,4,6.2,139.5,206,2,1.2,5.4,7.84,6.132465578362018,202.66169423391295,3.0922853683023925,5.303312051,16.39935426,1074.778205,5.963629796677950,18.44124516,1208.599318
30,11,3.6,5.9,225,398,3,2,7.4,7.28,4.8031250415913425,350.54947495118626,2.697460841818073,0.144186975,0.388938718,50.54466831,0,0,0
,,,,,,,,,,,,,,479.0419497,24850.36354,,507.1247415,24761.82896
