Ordem,Maquina,Tempo min,Tempo max,Custo min,Custo max,Especialidade s,w_min,w_max,Disponibilidade_maquina,Tempo_amostrado,Custo_amostrado,w_amostrado
1,1,3.6,5.4,198,300,1,1.5,8.2,6.04,5.2890128222778685,209.92360015225313,6.1494545779295695
2,2,4.4,6.7,144,195,2,2.1,7.5,6.95,4.816836052181019,191.93143830428724,5.030711994
3,22,3.6,6.2,252,308,3,1.8,6.9,6.83,3.7728902951536214,287.1516509719994,3.0841752004254595
4,3,4.4,7.2,225,400,1,2.5,9.1,7.08,6.475137818012166,283.6084825649901,4.781593557125868
5,16,4.2,7.2,180,220,2,1.2,5.8,7.42,5.923419339539736,185.5708829065355,2.035349497286558
6,4,3.5,5.9,171,209,3,1.9,7.3,5.52,5.520389064219853,201.17295719227124,6.805633031201593
7,8,4.8,7.8,243,297,1,3.2,9.5,7.95,5.219317129878869,276.48392882013974,6.875368307026559
8,12,2.8,5,153,187,2,1.4,6.2,5.18,4.549588086091759,171.13767712719493,3.3240868004654716
9,23,4.4,7.2,270,330,1,2.8,8.7,7.63,4.964556496133685,323.6335549830575,5.525834241500382
10,29,4,6.6,216,264,1,2.3,7.9,7.87,4.425505451450832,253.85266613877747,7.604786701826166
11,6,2.4,4.7,135,165,1,1.1,5.5,7.11,2.777811335241284,139.55024639198254,1.774746173710753
12,7,3.6,6,234,286,1,2,7.8,7.66,5.5549793285553175,250.20954752536852,5.400133025697424
13,9,5.2,8.4,261,520,2,3.5,10,6.73,7.328631106,325.35868721194663,6.788276412749029
14,13,3.6,6.2,162,198,2,1.7,6.5,6.69,4.959970104,188.78206653261637,4.634980330086309
15,30,4,6.6,279,418,2,2.4,8.3,6.6,4.932959258721106,283.66100842827336,2.506850084542959
16,10,4.4,7.2,234,333,1,2.6,8.9,6.91,6.856161514276703,290.41907880226034,8.094380626348155
17,14,4,6.3,148.5,201,2,1.3,6,6.66,4.902623747072061,188.52908100138626,5.680955927672978
18,18,4.2,7.4,216,264,3,1.8,7.1,7.65,6.813118206309047,258.0847506,4.795205873022807
19,20,5.6,9,270,330,1,3.8,9.8,7.41,7.093058689138743,290.5249049229544,7.979904943261354
20,5,4,6.6,171,209,1,2.2,7.6,7.34,4.980055516504759,202.2077775775365,7.181496658357396
21,15,4.8,7.8,252,308,1,3.1,9.3,7.59,6.188039357008819,258.1953772694916,7.484879532743072
22,17,3.6,6,288,352,1,2.1,7.7,6.75,4.323306897993941,342.1729466710092,2.954218640319864
23,19,3.8,6.5,157.5,256,2,1.4,6.3,6.89,5.818545326475878,170.05763323970027,4.223812964817385
24,21,4.4,7.2,261,319,3,2.7,8.5,7.62,5.807617092258942,284.0426628525013,6.218947269020564
25,24,5.2,8.4,279,500,2,3.4,9.7,6.38,5.9430806244698156,455.2022758372814,6.072023229205032
26,25,3.9,6,189,550,2,1.6,6.8,6.9,5.7891066038765935,243.12019127290733,5.429510025248558
27,26,4,7,243,489,3,2.3,8.1,7.54,5.151673664119635,299.3958432272298,7.719328685660286
28,27,5.6,9,288,352,1,3.7,9.9,7.28,7.448079727787561,334.2241643771562,9.438524780022014
29,28,4,6.2,139.5,206,2,1.2,5.4,7.84,5.994238644122003,187.38242968031395,3.093525359897355
30,11,3.6,5.9,225,398,3,2,7.4,7.28,5.035747390602182,335.91854048915644,2.6114854475400784
