Solucao,F_W,F_L,F_S,F_H
0,0.9202870139814404,0.6930114397069803,0.39195691613477945,0.41787950540878754
1,0.0,0.1534372625168697,0.7622059723172683,0.09951080442167672
2,1.0,1.0,0.0,1.0
3,0.6786087507347206,0.21927759077941827,0.7668875160385191,0.18912884726264706
4,0.5595611520338295,0.6093267168869345,0.3719743105425688,0.38266865332952155
5,0.5347940096718004,0.32539963243635767,0.7738501243169345,0.37540862137933423
6,0.18028404758018798,0.27762333272881046,0.9080134376459876,0.299887628098018
7,0.9116382331513253,0.6844476830008469,0.6050100110084785,0.4613346705097355
8,0.38672710428049956,0.2142328658755077,0.8882408038583757,0.37715192125467706
9,0.18761129911792668,0.0,1.0,0.0
