Ordem,Maquina,Tempo min,Tempo max,Custo min,Custo max,Especialidade s,w_min,w_max,Disponibilidade_maquina,Tempo_amostrado,Custo_amostrado,w_amostrado,Solução 1,F1,F2,Solução 2,F1,F2
1,1,3.6,5.4,198,300,1,1.5,8.2,6.04,5.0568500798613245,203.27153555919799,3.8850169469634523,0,0,0,3.815269642688940,14.82238722,775.5357188
2,2,4.4,6.7,144,195,2,2.1,7.5,6.95,6.263260807762116,171.09908620997555,6.192368996507593,5.286516666,32.73606191,904.5181709,0,0,0
3,22,3.6,6.2,252,308,3,1.8,6.9,6.83,5.854388028,282.27556681016597,1.873406792011755,5.503184249,10.30970275,1553.414453,0,0,0
4,3,4.4,7.2,225,400,1,2.5,9.1,7.08,6.957073547,336.55023276218617,3.2660794273456473,0,0,0,5.971576153194590,19.50364202,2009.735344
5,16,4.2,7.2,180,220,2,1.2,5.8,7.42,5.734027196582813,209.04365334890645,1.4116121533000625,0,0,0,6.512901539863680,9.193690967,1361.480732
6,4,3.5,5.9,171,209,3,1.9,7.3,5.52,4.703639107249279,208.0823790195763,2.1199355325224385,3.874386849,8.213450348,806.1916327,4.685109431274530,9.932129957,974.8887164
7,8,4.8,7.8,243,297,1,3.2,9.5,7.95,7.194885536900325,270.88021880826454,8.589401679269345,1.588182728,13.64153939,430.2072848,2.063624817765960,17.72530248,558.9951422
8,12,2.8,5,153,187,2,1.4,6.2,5.18,4.229920647711083,163.98052008000235,4.7775577250241135,4.705587521,22.48121601,771.6246889,3.740590240388800,17.8708858,613.383933
9,23,4.4,7.2,270,330,1,2.8,8.7,7.63,6.365507256321569,317.7111716861222,5.597625591615218,0,0,0,4.471173554883460,25.02795552,1420.541789
10,29,4,6.6,216,264,1,2.3,7.9,7.87,6.069060940533863,228.99994806057956,2.8478712996456084,5.840988702,16.63438409,1337.586109,4.280517710182590,12.19036353,980.2383333
11,6,2.4,4.7,135,165,1,1.1,5.5,7.11,4.447012286180403,148.16914262116907,3.2631098505140628,2.447344337,7.985953413,362.6209121,2.472287127079480,8.067344478,366.3166639
12,7,3.6,6,234,286,1,2,7.8,7.66,4.411188376443686,238.07973182979782,4.7461362705272805,0,0,0,5.127384987033070,24.33526786,1220.726443
13,9,5.2,8.4,261,520,2,3.5,10,6.73,6.401865448447821,267.56584254460347,4.625812154415099,0,0,0,6.205939139444240,28.7075087,1660.497335
14,13,3.6,6.2,162,198,2,1.7,6.5,6.69,3.8443530435862594,196.6553429284053,3.782487916,4.152081688,15.70519881,816.5290482,4.922283797028220,18.61847898,967.9934081
15,30,4,6.6,279,418,2,2.4,8.3,6.6,5.503528366590052,395.2012367511966,4.751177932944503,4.472744915,21.25080694,1767.634322,0,0,0
16,10,4.4,7.2,234,333,1,2.6,8.9,6.91,4.500638366630878,302.9014464032761,6.479855617728964,4.913532628,31.838982,1488.31614,5.098018241616850,33.03442214,1544.197099
17,14,4,6.3,148.5,201,2,1.3,6,6.66,5.070875441704658,169.97002958174917,4.284940159077926,4.699757159,20.13817819,798.8178633,0,0,0
18,18,4.2,7.4,216,264,3,1.8,7.1,7.65,5.9364628310642455,224.3181273634006,2.040111251791836,5.879220581,11.99426406,1318.815751,6.258553661823490,12.76814575,1403.907037
19,20,5.6,9,270,330,1,3.8,9.8,7.41,6.574240257236167,279.38622256026514,6.047675687758828,6.954251568,42.05705814,1942.922076,0,0,0
20,5,4,6.6,171,209,1,2.2,7.6,7.34,5.536166477479428,180.50923013025462,5.579643544856877,4.757195765,26.54345664,858.717745,4.200147765554860,23.43532737,758.1654396
21,15,4.8,7.8,252,308,1,3.1,9.3,7.59,4.891500749817148,282.75669322354275,6.219444803196545,3.718504273,23.12703207,1051.431972,0,0,0
22,17,3.6,6,288,352,1,2.1,7.7,6.75,3.6896356529981147,333.7341391,6.896343110654605,0,0,0,0,0,0
23,19,3.8,6.5,157.5,256,2,1.4,6.3,6.89,6.021021513781077,222.52944160669654,4.6275987949328306,0,0,0,1.274655486596880,5.898594194,283.6483737
24,21,4.4,7.2,261,319,3,2.7,8.5,7.62,5.408533795951536,277.23616602286467,3.6450196770722925,0,0,0,5.559270351946650,20.26364982,1541.230798
25,24,5.2,8.4,279,500,2,3.4,9.7,6.38,5.6065936404860315,490.02522702656586,3.844583108622708,6.38,24.52844023,3126.360948,6.380000000000000,24.52844023,3126.360948
26,25,3.9,6,189,550,2,1.6,6.8,6.9,4.996710846115089,455.38078692717244,4.940580246672841,0,0,0,0,0,0
27,26,4,7,243,489,3,2.3,8.1,7.54,6.3099806592958325,379.3710969178046,2.453765601141406,4.599021346,11.28492038,1744.735773,3.497066554955210,8.580981617,1326.685975
28,27,5.6,9,288,352,1,3.7,9.9,7.28,6.333791493489267,327.15012775899856,7.331808603895473,7.28,53.37556664,2381.65293,0,0,0
29,28,4,6.2,139.5,206,2,1.2,5.4,7.84,5.370359047,167.40340415144803,5.148967013984822,5.303312051,27.30657882,887.7924907,5.963629796677950,30.70653311,998.3319291
30,11,3.6,5.9,225,398,3,2,7.4,7.28,3.7962991694856667,267.85746118370025,5.1075605605297465,0.144186975,0.736443706,38.621557,0,0,0
,,,,,,,,,,,,,,421.8892345,24388.51187,,365.2110517,23892.86116
