Ordem,Maquina,Tempo min,Tempo max,Custo min,Custo max,Especialidade s,w_min,w_max,Disponibilidade_maquina,Tempo_amostrado,Custo_amostrado,w_amostrado
1,1,3.6,5.4,198,300,1,1.5,8.2,6.04,5.372714158132203,199.33563457201004,4.0011724190743445
2,2,4.4,6.7,144,195,2,2.1,7.5,6.95,6.3294655988256485,177.84040597285224,3.5620212349751905
3,22,3.6,6.2,252,308,3,1.8,6.9,6.83,3.9241229711284937,261.97001414470606,5.084397670518981
4,3,4.4,7.2,225,400,1,2.5,9.1,7.08,6.978357271328642,393.1873055571547,5.197645529247437
5,16,4.2,7.2,180,220,2,1.2,5.8,7.42,6.809689086186385,185.9465091101245,1.3167772360375862
6,4,3.5,5.9,171,209,3,1.9,7.3,5.52,4.745211337102573,186.7557167016269,2.743224025777428
7,8,4.8,7.8,243,297,1,3.2,9.5,7.95,6.573826307234787,247.60888207624677,7.710625041738605
8,12,2.8,5,153,187,2,1.4,6.2,5.18,3.6778059485142864,186.8937245627622,4.562834921168727
9,23,4.4,7.2,270,330,1,2.8,8.7,7.63,4.553332588701688,300.13170061987455,2.9598663557705525
10,29,4,6.6,216,264,1,2.3,7.9,7.87,4.871512828279342,244.5784808313621,3.543044106824517
11,6,2.4,4.7,135,165,1,1.1,5.5,7.11,4.2465629317754265,137.01229432165283,2.116729104987514
12,7,3.6,6,234,286,1,2,7.8,7.66,3.611116855211047,272.99794446075725,5.896977912872625
13,9,5.2,8.4,261,520,2,3.5,10,6.73,6.267197349411662,315.3655486117567,3.628118495403367
14,13,3.6,6.2,162,198,2,1.7,6.5,6.69,4.635238603336453,194.3299544198657,2.1997211935259546
15,30,4,6.6,279,418,2,2.4,8.3,6.6,5.397228567638599,307.51441,7.119504903701818
16,10,4.4,7.2,234,333,1,2.6,8.9,6.91,6.9755957259557295,252.8780843,3.7248313709423018
17,14,4,6.3,148.5,201,2,1.3,6,6.66,4.796595787041711,150.41885756202498,4.3679067069038116
18,18,4.2,7.4,216,264,3,1.8,7.1,7.65,5.310250246067929,238.65921336527995,3.062368739547651
19,20,5.6,9,270,330,1,3.8,9.8,7.41,8.107504243573144,303.890468,4.396648356556071
20,5,4,6.6,171,209,1,2.2,7.6,7.34,5.175766646313498,173.4969282982774,3.513129831397052
21,15,4.8,7.8,252,308,1,3.1,9.3,7.59,5.4738144688199455,295.4295465349206,7.578054977505088
22,17,3.6,6,288,352,1,2.1,7.7,6.75,4.685854838718464,317.0104854238738,6.8919002213952005
23,19,3.8,6.5,157.5,256,2,1.4,6.3,6.89,4.1803139550254595,209.15244152876664,5.4680773363782595
24,21,4.4,7.2,261,319,3,2.7,8.5,7.62,4.893883562217425,286.5642393224172,5.003664471787038
25,24,5.2,8.4,279,500,2,3.4,9.7,6.38,6.794776872766335,367.5686365,7.60893636
26,25,3.9,6,189,550,2,1.6,6.8,6.9,4.779743443959551,391.0301596022666,2.665918336162269
27,26,4,7,243,489,3,2.3,8.1,7.54,6.744537703,281.18910049895527,4.000256835513877
28,27,5.6,9,288,352,1,3.7,9.9,7.28,6.832139256996553,299.6434003516973,9.257282074830943
29,28,4,6.2,139.5,206,2,1.2,5.4,7.84,5.2772943706116955,196.8087437973989,1.2546080787450913
30,11,3.6,5.9,225,398,3,2,7.4,7.28,5.054207862,388.6779749491185,2.4617460666141278
