Ordem,Maquina,Tempo min,Tempo max,Custo min,Custo max,Especialidade s,w_min,w_max,Disponibilidade_maquina,Tempo_amostrado,Custo_amostrado,w_amostrado
1,1,3.6,5.4,198,300,1,1.5,8.2,6.04,5.317291849,250.42692789430072,2.6318649225835022
2,2,4.4,6.7,144,195,2,2.1,7.5,6.95,5.794201659237024,183.9663036497983,3.604387830772577
3,22,3.6,6.2,252,308,3,1.8,6.9,6.83,4.194471294309003,274.20639580999114,2.702753469811409
4,3,4.4,7.2,225,400,1,2.5,9.1,7.08,6.280761916336399,333.86517253987785,3.085436722796567
5,16,4.2,7.2,180,220,2,1.2,5.8,7.42,6.054384721373688,214.4945483498698,1.7549250070627638
6,4,3.5,5.9,171,209,3,1.9,7.3,5.52,4.3595905232788175,207.0817836989904,4.388205347376719
7,8,4.8,7.8,243,297,1,3.2,9.5,7.95,5.140672776598887,250.94196797016804,4.499902425956493
8,12,2.8,5,153,187,2,1.4,6.2,5.18,4.277461030304159,184.5039792554908,3.1484953330307626
9,23,4.4,7.2,270,330,1,2.8,8.7,7.63,5.8568615625306215,299.5269775847723,5.770161898043655
10,29,4,6.6,216,264,1,2.3,7.9,7.87,6.008027818512662,228.3957306,6.166211040324446
11,6,2.4,4.7,135,165,1,1.1,5.5,7.11,3.5963760525575847,148.77407268714785,1.2729734153008354
12,7,3.6,6,234,286,1,2,7.8,7.66,5.645235600764496,284.96169391484483,6.6365803136724475
13,9,5.2,8.4,261,520,2,3.5,10,6.73,6.966101884078354,388.5880863441532,7.581352532
14,13,3.6,6.2,162,198,2,1.7,6.5,6.69,5.058438725992005,173.8350579703503,2.092443353354585
15,30,4,6.6,279,418,2,2.4,8.3,6.6,6.2792993669116965,367.04271875002485,7.554113882229986
16,10,4.4,7.2,234,333,1,2.6,8.9,6.91,5.529752025394712,257.7744162590411,8.401496123350423
17,14,4,6.3,148.5,201,2,1.3,6,6.66,4.308235025436474,152.48282472570486,1.5870664113178596
18,18,4.2,7.4,216,264,3,1.8,7.1,7.65,4.292104564202685,222.18622665171117,3.2674515351801796
19,20,5.6,9,270,330,1,3.8,9.8,7.41,8.167466669290304,277.68275033746636,8.637207678758369
20,5,4,6.6,171,209,1,2.2,7.6,7.34,5.612804833519008,176.77230235346718,6.240602328071755
21,15,4.8,7.8,252,308,1,3.1,9.3,7.59,6.912239304297671,259.77432166836695,4.244030320009539
22,17,3.6,6,288,352,1,2.1,7.7,6.75,4.111113987621386,329.01598366740575,3.2723562106855777
23,19,3.8,6.5,157.5,256,2,1.4,6.3,6.89,4.168202984084278,175.41518831331575,3.215313303677772
24,21,4.4,7.2,261,319,3,2.7,8.5,7.62,4.440725064,281.04870243278407,5.510233314107923
25,24,5.2,8.4,279,500,2,3.4,9.7,6.38,6.321880188181111,477.1902385892286,7.295005060640864
26,25,3.9,6,189,550,2,1.6,6.8,6.9,5.138827142,360.1001521348969,3.5183509257628165
27,26,4,7,243,489,3,2.3,8.1,7.54,5.176732135299197,407.2192036761727,4.982701353572258
28,27,5.6,9,288,352,1,3.7,9.9,7.28,7.087414734880679,299.0284717569043,8.334319816429291
29,28,4,6.2,139.5,206,2,1.2,5.4,7.84,5.989149127886247,152.28721975077661,1.3540694521405112
30,11,3.6,5.9,225,398,3,2,7.4,7.28,4.400987574153591,232.07027061410085,3.363159499457712
