,Cenário_1,Cenário_2,Cenário_3,Cenário_4,Cenário_5,Cenário_6,Cenário_7,Cenário_8,Cenário_9,Cenário_10
Solução_0,504.2061014414297,461.4774841866428,538.9756537366608,426.1318911518805,452.6261142924701,472.6534853936441,438.11627018630975,476.8057669358417,531.2902027968818,419.13095435847754
Solução_1,414.1182343678707,508.38397275707416,508.45692888255564,384.084706547696,465.5310078952595,491.91166695305316,411.68596586070095,422.22047405921165,514.3411236388463,372.5205640195827
Solução_2,464.40874392075744,469.3900262138618,611.0810619557392,435.0997489206858,498.7376505148213,511.5002386642959,428.0759336528832,471.20376773773285,538.5588271668418,423.16823113947845
Solução_3,415.91432216435277,428.2002634395013,508.0710406747789,461.2315372065626,460.2750508413745,462.35770032332135,406.89051413144324,453.0823585991354,514.192355569603,410.88012616347737
Solução_4,453.412006765472,446.1460421550926,540.6227710803879,452.30987384737983,491.3815772511852,474.16673727744575,400.86103098101745,460.7961798251821,534.8890002990767,431.4425674273057
Solução_5,400.6221693759106,435.74494779148324,536.6156991940968,432.17676555026645,456.4346021981581,540.1248428477509,399.6066329991544,445.85626697428813,515.8428707332951,402.9442433732137
Solução_6,453.3994834461763,446.4417582897868,496.43837585254226,441.66588198725765,442.22402676843905,453.5168369164944,439.81812851958034,454.03003901054706,536.580741479341,381.6515304484515
Solução_7,453.31743732261305,470.7934526476797,521.414207804004,446.83564194062785,454.0108951664251,483.9886619695753,421.2754433666308,502.8593000705679,544.6047805077285,418.69291378600104
Solução_8,435.87412757058735,474.9136072358077,498.06818573356384,410.1415004194129,445.97763760947527,460.9893366062393,403.29780024140194,454.7479611234018,542.8445578182055,392.1073896634227
Solução_9,443.17461416712075,448.77643471875086,488.8561483225053,413.1358496684426,419.6842325944029,463.31352911213224,382.02263864523866,434.7364668279693,498.6176283481425,436.05605981419825
