Solucao,F_W,F_L,F_S,F_H
0,24414.085867352424,23216.22101747533,1992.5583511614825,23854.852969558175
1,24473.918138953108,23380.262566593876,2299.813992920812,23954.023192283403
2,24844.041262864783,23748.073719027674,3127.900044426998,24333.427512264345
3,23524.15097983898,22599.84761231432,1679.3826159793207,23089.157972040437
4,23585.384659670224,22970.826814505017,1411.2805136379284,23259.278978437986
5,24085.71865166968,23083.651755017585,2382.799983351146,23608.42297234329
6,23556.70008025144,22643.72098058706,1507.7565050463163,23121.789746880328
7,23745.914156016857,22698.602295063105,1724.648844117848,23316.535860938482
8,22844.27194294738,22156.01741152218,848.9300200942962,22526.74239699236
9,22844.858312449847,21948.135802397235,865.5570931873845,22364.791745409984
